NSTRANA;NAZEV_STRN;ZKRATKAN30;ZKRATKAN8
1;"Křesťan.a demokrat.unie-Českosl.strana lidová";"Křesť.demokr.unie-Čs.str.lid.";"KDU-ČSL"
2;"Česká strana národně sociální";"Česká strana národně sociální";"ČSNS"
5;"Strana zelených";"Strana zelených";"Zelení"
7;"Česká strana sociálně demokratická";"Česká str.sociálně demokrat.";"ČSSD"
9;"Nezávislá iniciativa (NEI)";"Nezávislá iniciativa (NEI)";"NEI"
21;"Republikán.str.zemědělského a malorolnického lidu";"Rep.str.zeměd.a maloroln.lidu";"RSZML"
24;"Konzervativní strana";"Konzervativní strana";"KONS"
29;"Strana svobodných demokratů";"Strana svobodných demokratů";"SSD"
40;"Klub angažovaných nestraníků";"Klub angažovaných nestraníků";"KAN"
47;"Komunistická strana Čech a Moravy";"Komunistická str.Čech a Moravy";"KSČM"
51;"Národně demokratická strana";"Národně demokratická strana";"NDS"
53;"Občanská demokratická strana";"Občanská demokratická strana";"ODS"
55;"Koruna Česká (monarch.str.Čech, Moravy a Slezska)";"Koruna Česká (monarch.strana)";"KČ"
68;"Masarykova demokratická strana";"Masarykova demokratická strana";"MDS"
72;"COEXISTENTIA";"COEXISTENTIA";"COEX"
74;"Strana demokratického socialismu";"Strana demokrat.socialismu";"SDS"
76;"Československá strana socialistická";"Českosl.strana socialistická";"ČSS"
77;"Česká pravice";"Česká pravice";"ČP"
79;"Národní demokracie";"Národní demokracie";"ND"
80;"Nezávislí kandidáti";"Nezávislí kandidáti";"NK"
83;"Moravané";"Moravané";"Moravané"
86;"Iniciativa občanů";"Iniciativa občanů";"IO"
88;"NEZÁVISLÍ";"NEZÁVISLÍ";"NEZ"
93;"Komunistická strana Československa";"Komunistická str.Českosloven.";"KSČ"
98;"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB"
100;"Humanistická strana";"Humanistická strana";"HS"
103;"Strana pro otevřenou společnost";"Str.pro otevřenou společnost";"SOS"
109;"Zlínské hnutí nezávislých";"Zlínské hnutí nezávislých";"ZHN"
111;"Pravá volba pro Plzeň";"Pravá volba pro Plzeň";"PVP"
